hidden layer 1,hidden layer 2,hidden layer 3,accuracy_score,precision_score,recall_score,f1_score
1,0,0,0.6796536796536796,0.0,0.0,0.0
2,0,0,0.35064935064935066,0.33035714285714285,1.0,0.4966442953020134
3,0,0,0.4155844155844156,0.3482587064676617,0.9459459459459459,0.5090909090909091
4,0,0,0.3246753246753247,0.3217391304347826,1.0,0.4868421052631579
5,0,0,0.7316017316017316,0.5652173913043478,0.7027027027027027,0.6265060240963856
6,0,0,0.3246753246753247,0.3217391304347826,1.0,0.4868421052631579
7,0,0,0.5930735930735931,0.43333333333333335,0.8783783783783784,0.5803571428571429
8,0,0,0.329004329004329,0.32158590308370044,0.9864864864864865,0.4850498338870432
9,0,0,0.7359307359307359,0.8421052631578947,0.21621621621621623,0.34408602150537637
10,0,0,0.3203463203463203,0.3203463203463203,1.0,0.4852459016393442
11,0,0,0.7445887445887446,0.5882352941176471,0.6756756756756757,0.628930817610063
12,0,0,0.7402597402597403,0.5813953488372093,0.6756756756756757,0.6250000000000001
13,0,0,0.70995670995671,0.5686274509803921,0.3918918918918919,0.464
14,0,0,0.7402597402597403,0.5813953488372093,0.6756756756756757,0.6250000000000001
15,0,0,0.7402597402597403,0.5813953488372093,0.6756756756756757,0.6250000000000001
16,0,0,0.7186147186147186,0.5529411764705883,0.6351351351351351,0.5911949685534591
17,0,0,0.7402597402597403,0.5813953488372093,0.6756756756756757,0.6250000000000001
18,0,0,0.7359307359307359,0.5747126436781609,0.6756756756756757,0.6211180124223602
19,0,0,0.7402597402597403,0.5813953488372093,0.6756756756756757,0.6250000000000001
20,0,0,0.7186147186147186,0.56,0.5675675675675675,0.563758389261745
21,0,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
22,0,0,0.7445887445887446,0.5882352941176471,0.6756756756756757,0.628930817610063
23,0,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
24,0,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,1,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,2,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,3,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,4,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,5,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,6,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,7,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,8,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,9,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,10,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,11,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,12,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,13,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,14,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,15,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,16,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,17,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,18,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,19,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,20,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,21,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,22,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,23,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,24,0,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,1,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,2,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,3,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,4,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,5,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,6,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
25,25,7,0.7402597402597403,0.5833333333333334,0.6621621621621622,0.6202531645569621
